Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Pivotable date
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-12,298,monthly,319493,01/12/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-12,309,monthly,444125,01/12/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-01,252,monthly,325990,01/01/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-01,244,monthly,458754,01/01/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-02,238,monthly,329609,01/02/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-02,330,monthly,460405,01/02/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-03,479,monthly,336144,01/03/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-03,615,monthly,469410,01/03/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-04,132,monthly,337626,01/04/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-04,192,monthly,456740,01/04/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-05,141,monthly,343814,01/05/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-05,295,monthly,450421,01/05/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-06,148,monthly,351368,01/06/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-06,542,monthly,439720,01/06/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-07,219,monthly,355960,01/07/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-07,463,monthly,443471,01/07/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-08,218,monthly,359410,01/08/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-08,393,monthly,449287,01/08/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-09,142,monthly,362358,01/09/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-09,407,monthly,463714,01/09/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-10,373,monthly,359280,01/10/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-10,367,monthly,465362,01/10/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-11,309,monthly,360642,01/11/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-11,373,monthly,467871,01/11/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2016-12,305,monthly,353282,01/12/2016
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2016-12,380,monthly,460400,01/12/2016
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-01,214,monthly,355298,01/01/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-01,378,monthly,458312,01/01/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-02,280,monthly,359315,01/02/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-02,383,monthly,470186,01/02/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-03,388,monthly,364544,01/03/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-03,284,monthly,462762,01/03/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-04,358,monthly,365240,01/04/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-04,268,monthly,465198,01/04/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-05,359,monthly,365854,01/05/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-05,314,monthly,448448,01/05/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-06,456,monthly,362237,01/06/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-06,344,monthly,452345,01/06/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-07,369,monthly,363805,01/07/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-07,245,monthly,449170,01/07/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-08,290,monthly,361141,01/08/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-08,301,monthly,445665,01/08/2017
